instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
doublecenter-alpha_3-72-n50,50,doublecenter,1472.0259999999998,6899.0,2873.6,60.002460000000006,25.337139999999998,4025.4,1283.0
doublecenter-alpha_3-80-n50,50,doublecenter,1525.6680000000001,6861.0,3924.2,60.00488,34.55976,2936.8,2487.6
doublecenter-77-n50,50,doublecenter,1321.8,6912.8,1666.6,60.00312,14.935034000000002,5246.2,648.2
doublecenter-alpha_1-74-n50,50,doublecenter,1446.4660000000001,6887.2,2276.4,60.00428000000001,19.480054000000003,4610.8,1317.8
doublecenter-alpha_1-76-n50,50,doublecenter,1701.0059999999999,6867.4,2367.6,60.00406,21.028814000000004,4499.8,1152.0
doublecenter-alpha_1-72-n50,50,doublecenter,1472.0259999999998,6942.4,2873.6,60.00392000000001,24.967620000000004,4068.8,1283.0
doublecenter-74-n50,50,doublecenter,1446.4660000000001,6831.2,2276.4,60.00323999999999,20.381852000000002,4554.8,1317.8
doublecenter-alpha_3-75-n50,50,doublecenter,1570.6399999999999,6907.4,4303.2,60.00319999999999,37.24544,2604.2,2613.0
doublecenter-alpha_1-78-n50,50,doublecenter,1617.9879999999998,6743.4,1318.2,60.0049,13.077622000000002,5425.2,539.2
doublecenter-72-n50,50,doublecenter,1472.0259999999998,6835.6,2873.6,60.006460000000004,25.4786,3962.0,1283.0
doublecenter-alpha_1-79-n50,50,doublecenter,1338.85,6888.4,3442.6,60.003859999999996,29.902800000000003,3445.8,1822.0
doublecenter-96-n100,100,doublecenter,2543.596,4922.2,4048.0,60.0055,49.537639999999996,874.2,415.4
doublecenter-alpha_1-93-n100,100,doublecenter,2244.1859999999997,4966.0,4304.6,60.00436,51.88954,661.4,556.6
doublecenter-alpha_3-94-n100,100,doublecenter,2589.2619999999997,4947.2,4774.0,60.00566000000001,57.9569,173.2,433.0
doublecenter-alpha_1-100-n100,100,doublecenter,2641.442,4886.0,4462.6,60.00544,54.76228,423.4,579.6
doublecenter-alpha_3-96-n100,100,doublecenter,2544.4080000000004,4831.6,4033.2,60.0056,50.09884,798.4,415.4
doublecenter-alpha_3-92-n100,100,doublecenter,2316.03,4849.6,4199.2,60.00662,51.9643,650.4,653.6
doublecenter-alpha_3-93-n100,100,doublecenter,2244.1859999999997,4893.2,4304.6,60.0058,53.06364,588.6,556.6
doublecenter-95-n100,100,doublecenter,2533.236,4891.8,4765.8,60.01002,58.37978,126.0,674.0
doublecenter-alpha_1-96-n100,100,doublecenter,2543.584,4910.4,4068.0,60.007760000000005,49.62692,842.4,415.4
doublecenter-alpha_1-99-n100,100,doublecenter,2421.138,4902.4,4466.8,60.00512,54.53538000000001,435.6,691.0
doublecenter-alpha_1-95-n100,100,doublecenter,2533.246,4900.4,4754.0,60.004639999999995,58.28068,146.4,674.0
doublecenter-92-n100,100,doublecenter,2321.2839999999997,4796.8,4120.6,60.0062,51.68754,676.2,653.6
doublecenter-alpha_1-94-n100,100,doublecenter,2589.942,4806.0,4573.2,60.00713999999999,57.038799999999995,232.8,373.0
doublecenter-alpha_3-100-n100,100,doublecenter,2640.9620000000004,4923.8,4483.4,60.00432000000001,54.801840000000006,440.4,579.6
doublecenter-alpha_3-95-n100,100,doublecenter,2532.412,4902.4,4749.0,60.00596,58.157259999999994,153.4,674.0
doublecenter-alpha_3-99-n100,100,doublecenter,2421.296,4901.0,4272.0,60.0046,52.05134,629.0,574.2
doublecenter-alpha_1-97-n100,100,doublecenter,2497.4619999999995,4825.4,4716.6,60.0044,58.72182,108.8,840.2
doublecenter-100-n100,100,doublecenter,2641.442,4837.2,4462.6,60.005520000000004,55.44036,374.6,579.6
doublecenter-94-n100,100,doublecenter,2589.936,4797.2,4588.4,60.00742,57.30324,208.8,373.0
doublecenter-91-n100,100,doublecenter,2439.4199999999996,4814.8,4061.2,60.00508,50.7712,753.6,532.2
doublecenter-alpha_1-92-n100,100,doublecenter,2316.03,4927.2,4199.2,60.00544,51.06422,728.0,653.6
doublecenter-98-n100,100,doublecenter,2384.0800000000004,4873.2,4080.0,60.004859999999994,50.3855,793.2,704.2
doublecenter-97-n100,100,doublecenter,2497.4619999999995,4901.4,4716.6,60.0034,57.81564000000001,184.8,840.2
doublecenter-alpha_3-97-n100,100,doublecenter,2496.1580000000004,4845.2,4730.8,60.00734,58.4893,114.4,840.2
doublecenter-93-n100,100,doublecenter,2244.1859999999997,4970.2,4304.6,60.00532,51.90622,665.6,556.6
doublecenter-alpha_3-98-n100,100,doublecenter,2384.0800000000004,4841.0,4080.0,60.00518000000001,50.82598,761.0,704.2
doublecenter-alpha_1-98-n100,100,doublecenter,2397.542,3268.0,2948.4,60.007940000000005,50.466120000000004,319.6,476.6
doublecenter-alpha_3-91-n100,100,doublecenter,2438.9119999999994,4840.4,4076.0,60.0073,50.34874000000001,764.4,532.2
doublecenter-alpha_1-91-n100,100,doublecenter,2438.9119999999994,4856.8,4076.0,60.00502,50.35616,780.8,532.2
doublecenter-99-n100,100,doublecenter,2422.1240000000003,4794.0,4200.2,60.0038,52.67782,593.8,574.2
